date,portfolio_return,spy_return,portfolio_cumulative,spy_cumulative
2015-01-08,0.007186680674850599,0.017745115905959397,1.0071866806748506,1.0177451159059594
2015-01-09,-0.0008538208957070048,-0.00801355189613795,1.0063267236410127,1.009589362602606
2015-01-12,-0.0037468998103771674,-0.007833548483708541,1.0025561182310248,1.001680695382022
2015-01-13,-0.0010943875797104175,-0.002812491561297814,1.00145893326727,0.9988634768791452
2015-01-14,-0.0017039103156232622,-0.00603710964212445,0.999752537060203,0.9928332285517122
2015-01-15,-0.0010174955515765383,-0.009160844113099254,0.9987352933010669,0.9837380381146449
2015-01-16,0.005851275545502786,0.01311401284812197,1.0045791686991898,0.9966387913856667
2015-01-20,0.0033369864387728584,0.002132856099927416,1.0079314357618128,0.9987644785112979
2015-01-21,0.0021148154235217007,0.005047958708102707,1.0100630247080142,1.0038062003579427
2015-01-22,0.006505554268227005,0.01487084062987698,1.0166340445295818,1.018733642386748
2015-01-23,-0.002947134352457242,-0.005482637881275676,1.0136378874130711,1.0131482947280683
2015-01-26,0.0003298924051966587,0.0023418003771367157,1.0139722788537484,1.015520885786758
2015-01-27,-0.005563859640434704,-0.013190739917983252,1.0083306794149145,1.002125413901065
2015-01-28,-0.005637406403119128,-0.012824134106482088,1.0026463095863194,0.9892740232016838
2015-01-29,0.0011643180769245736,0.00924370072824976,1.0038137088093324,0.9984185762103918
2015-01-30,-0.002612422807249584,-0.01257501061562405,1.0011913229822091,0.9858634520157098
2015-02-02,0.005358358447369105,0.012384015904278733,1.0065560649651435,0.9980724006849194
2015-02-03,0.005698239614592013,0.014461145156765998,1.0122916626088356,1.0125056705481859
2015-02-04,-0.0011666290441889042,-0.0038081219606467265,1.011110693754046,1.0086499254688919
2015-02-05,0.0032281692506043952,0.010095390906780244,1.01437473020458,1.0188326407545951
2015-02-06,-0.006246641636710003,-0.0027652329391858466,1.0080382947796576,1.0160153311768627
2015-02-09,-0.0014240804500135575,-0.004475777546568249,1.0066027671511968,1.011467872570612
2015-02-10,0.003419242510681537,0.010653080129689574,1.01004458612401,1.0222431208657135
2015-02-11,-0.0003954762240583204,0.0005803527518377649,1.009645137504959,1.022836382473955
2015-02-12,0.004693511798609501,0.009616745922479408,1.0143839188702475,1.032672740084475
2015-02-13,0.002307529711114959,0.004116600411421922,1.016724639901518,1.036923841111171
2015-02-17,-0.0006420013830159327,0.001572803489942709,1.016071901276555,1.0385547185472754
2015-02-18,0.0010647127107583708,9.5147820689645e-05,1.0171537259448884,1.0386535347654122
2015-02-19,-0.0008454052099968266,-0.0007137599770754566,1.0162938188856068,1.0379121854422486
2015-02-20,0.0028510563163168306,0.006000743753166615,1.0191913297971744,1.0441404305053767
2015-02-23,0.000823900239414064,-0.00014182739274848366,1.0200310417778031,1.043992342790455
2015-02-24,0.0032383036567337196,0.002840439695877439,1.023334212030374,1.046957740083109
2015-02-25,-0.0010314439813083802,-0.0008494573650693615,1.0222787001165081,1.046068394119879
2015-02-26,-0.0009580705786772475,-0.0011815449830308022,1.021299284970718,1.0448324172568995
2015-02-27,-0.0009600838339320555,-0.003406222918318158,1.0203187520376114,1.0412734851314371
2015-03-02,0.0016318666200571719,0.006313127227019821,1.0219837761508799,1.0478471771211941
2015-03-03,-0.002439432355708946,-0.00410365969193438,1.0194907158603277,1.0435471688971347
2015-03-04,-0.0014530841463497126,-0.004215523550709754,1.0180093100637604,1.0391480712303724
2015-03-05,0.0008651261738854353,0.0010941448351875493,1.0188900165631556,1.0402850497255043
2015-03-06,-0.009764463128264561,-0.014064845738707143,1.0089411025646677,1.0256536009768318
2015-03-09,0.002152149424987856,0.004144772682167952,1.011112494578399,1.0299047020035277
2015-03-10,-0.0073544568946304996,-0.016222021072603843,1.0036763113213998,1.0131975662248527
2015-03-11,6.646415420827234e-05,-0.002341506718989028,1.0037430198185306,1.010825157315874
2015-03-12,0.00687755785936745,0.012713942422265978,1.0106463205132687,1.0236767301649659
2015-03-13,-0.0030513055434974465,-0.006132323198263623,1.0075625297929713,1.0173992136050525
2015-03-16,0.008862062037786212,0.013360371145988204,1.0164916114389455,1.0309920447024525
2015-03-17,0.00015201587545822265,-0.002972278667180306,1.0166461343011544,1.0279276490419509
2015-03-18,0.009605077947135271,0.012021663873980293,1.0264110996657707,1.040285049725504
2015-03-19,-0.0016835042500862362,-0.004561775080832997,1.0246831322171477,1.0355395033087031
2015-03-20,0.004823671554722139,0.008826756112160439,1.029625867094627,1.0446799579489168
2015-03-23,-0.002293007534484679,-0.0019483784755484068,1.0272649272236787,1.0426445260050123
2015-03-24,-0.0031576085040984333,-0.005618692521061175,1.0240212267535151,1.0367862270046226
2015-03-25,-0.012422203657374654,-0.014654040520943101,1.0113006265253084,1.0215931196225412
2015-03-26,-0.0021369093142330465,-0.0023812811740248074,1.0091395687969968,1.0191604191592707
2015-03-27,0.004439682430634086,0.002289381217404962,1.0136198280106425,1.0214936658804166
2015-03-30,0.007808322867135784,0.012200005010708281,1.0215344988922803,1.0339558937225644
2015-03-31,-0.004903295205535096,-0.008739507227018772,1.016525613681573,1.0249196287169573
2015-04-01,-0.0015736228767672413,-0.003536203005688132,1.014925985721064,1.0212953048452997
2015-04-02,0.0012780052842503037,0.0035972637645345085,1.0162230664939385,1.0249691734383088
2015-04-06,0.004386042695298572,0.0067333443515009694,1.0206802642515282,1.0318706438327423
2015-04-07,-0.0018370161058301276,-0.0026466210964634085,1.0188052581671954,1.0291396732179532
2015-04-08,0.0026439925179728356,0.0033774539528201863,1.0214989716470608,1.0326155450752672
2015-04-09,0.0016886321413312531,0.004423405444493822,1.0232239076429208,1.0371832222994222
2015-04-10,0.002318766106615948,0.0054570280771848445,1.0255965245594423,1.0428431602646953
2015-04-13,-0.0015218459185116627,-0.004522987676583434,1.0240357246745018,1.0381263935022087
2015-04-14,0.0008670154155271775,0.0019130409455332398,1.0249235794338452,1.0401123717996172
2015-04-15,0.0019330033034679636,0.004487141094384306,1.026904760098693,1.0447795027658968
2015-04-16,0.0015242404192339306,-0.00028505036369197434,1.028470009840739,1.0444816879886554
2015-04-17,-0.006488077145969591,-0.011503622959357807,1.0217972170745764,1.0324663644620802
2015-04-20,0.005131932084125257,0.00913680365271019,1.0270410109963513,1.0418998069121976
2015-04-21,0.00026900634681524234,-0.0011914296088876286,1.0273172915467488,1.0406584566327481
2015-04-22,6.149616265954745e-05,0.004914405296922775,1.0273804676180127,1.0457726740643116
2015-04-23,0.0025201599296814526,0.0025163373818490875,1.029969630705041,1.048404190936976
2015-04-24,0.007319665653265093,0.0023204710160036335,1.0375086640348188,1.0508369824751018
2015-04-27,-6.05255635655534e-05,-0.004158025780175878,1.037445868238224,1.046467575211208
2015-04-28,-0.00040125359106022666,0.00317888508738573,1.0370295893580628,1.0497941753804796
2015-04-29,-0.0035101785996421875,-0.0041149614313458205,1.0333894302863023,1.0454743128379373
2015-04-30,-0.007880396636534505,-0.010020396738960935,1.0252459116956438,1.0349982454429087
2015-05-01,0.005294327237688079,0.010841885951385022,1.0306738990512625,1.0462195783798844
2015-05-04,0.0019473060346719754,0.0028473635053987145,1.0326809365546639,1.049198545825997
2015-05-05,-0.0069254678918334485,-0.01145190638547422,1.025529137886046,1.037183222299422
2015-05-06,-0.002253564379627795,-0.0041169626588808406,1.0232180419506356,1.0329131777027976
2015-05-07,0.0026029305263829856,0.003989819567574049,1.0258814074271747,1.0370343149108012
2015-05-08,0.0018525861850092074,0.013166072621231262,1.027781941150032,1.0506879840116257
2015-05-11,-0.00357398557344721,-0.004773011508137803,1.024108663319712,1.0456730381724761
2015-05-12,-3.3727516285352656e-05,-0.0029911680283392084,1.0240741226780918,1.0425452544125984
2015-05-13,0.0013869538604938292,0.00019044083121300126,1.025494466235972,1.0427437975974259
2015-05-14,0.006533423688125316,0.010427969208611332,1.0321944560737195,1.0536174978112423
2015-05-15,0.0014408088933183126,0.001083613730775923,1.0336816510256643,1.0547592121988563
2015-05-18,0.0017669152526599819,0.003106318376780992,1.0355080789012563,1.0580356301227887
2015-05-19,-0.0006949711029167039,-0.0003282199709069289,1.0347884307095832,1.0576883616990513
2015-05-20,7.980569464243427e-05,-0.0007040145707595258,1.0348710127191039,1.0569437336810925
2015-05-21,0.0004175402262777179,0.0029122239819667772,1.035303112995923,1.060021790569908
2015-05-22,-0.0015619745039018678,-0.0023887756156727447,1.0336859959296132,1.057489636364513
2015-05-26,-0.005793921432198337,-0.010751330567156936,1.0276969004836334,1.0461202157126155
