date,activation_regime_allocator,capital_weight_regime_allocator,activation_trend_cta,capital_weight_trend_cta,activation_defensive,capital_weight_defensive,slow_posture,leverage_ceiling,fast_override
2015-01-08,0.43137254901960786,0.3615023474178404,0.3741496598639456,0.31354795439302485,0.3877551020408163,0.32494969818913483,aggressive,1.1895495863802186,False
2015-01-09,0.4253701480592237,0.35827435119649476,0.3692276910764306,0.31098752949106845,0.3926770708283313,0.33073811931243674,aggressive,1.1895495863802186,False
2015-01-12,0.45946378551420564,0.38014832472520194,0.35605842336934773,0.29459343133359817,0.3931212484993997,0.3252582439411998,aggressive,1.1895495863802186,False
2015-01-13,0.4366306522609043,0.3554109339170315,0.3565638255302121,0.2902377136752137,0.435328931572629,0.35435135240775484,aggressive,1.1895495863802186,False
2015-01-14,0.5058815526210484,0.38089083160995174,0.36015890356142455,0.27117261655121216,0.46211320528211275,0.3479365518388361,aggressive,1.1895495863802186,False
2015-01-15,0.5838889955982393,0.4256978389090661,0.3615950260104041,0.2636292553778706,0.4261203001200479,0.31067290571306333,aggressive,1.1895495863802186,False
2015-01-16,0.6204870028011203,0.4299752154555429,0.36764232853141254,0.2547629341263394,0.45494687515005994,0.3152618504181177,aggressive,1.1895495863802186,False
2015-01-20,0.5819999655862345,0.40813470893061,0.3713952482192877,0.2604455334933027,0.472604469267707,0.3314197575760874,aggressive,1.1895495863802186,False
2015-01-21,0.5953951739895957,0.408705406047671,0.3731819558663465,0.2561684902146762,0.4882060816686674,0.3351261037376529,aggressive,1.1895495863802186,False
2015-01-22,0.6166565737735094,0.40863514354052366,0.37743385169947974,0.2501112332630666,0.5149735488847538,0.3412536231964098,aggressive,1.1895495863802186,False
2015-01-23,0.6392226268515405,0.41417071245348036,0.3769287862256502,0.24422299427075875,0.5272281828987995,0.3416062932757609,aggressive,1.1895495863802186,False
2015-01-26,0.65513891202537,0.4204576188259591,0.37789576860525403,0.2425274275664118,0.5251221529991477,0.337014953607629,aggressive,1.1895495863802186,False
2015-01-27,0.6575168062448898,0.4224013787202636,0.38157385675116884,0.24513034745954793,0.5175254830897995,0.3324682738201884,aggressive,1.1895495863802186,False
2015-01-28,0.6665042613702223,0.42337484185177193,0.390270967432901,0.24790675572959597,0.5174899269983938,0.3287184024186322,aggressive,1.1895495863802186,False
